번호,분야,제목,작성일,조회수
36139,경영 전략,청년창업 지원사업 상담,2023-12-29,1876
36138,회계(세무),"(소득세법/부가가치세법, 제반 세무신고의 흐름)간이과세자의 부가가치세 및 종합소득세 신고의 흐름",2023-12-29,617
36137,회계(세무),"(조세특례제한법, 월세액에 대한 세액공제)5년 이내의 기간에 대한 근로소득 연말정산 경정청구",2023-12-29,289
36136,경영 전략,조선해양관련기업 산단공 지원사업 참여 등,2023-12-29,258
36135,회계(세무),"(소득세법, 퇴직소득세 계산)연분연승법, 12배/근속연수로 곱하고 산출세액에 근속연수/12배 곱해서 계산",2023-12-29,262
36134,회계(세무),"(부가가치세법, 세금계산서 발급)세금계산서 발급시기/부가가치세법 제34조 제3항",2023-12-29,77
36133,경영 전략,페업관련 상담,2023-12-29,239
36132,경영 전략,운영자금 등,2023-12-29,255
36131,회계(세무),"(소득세법, 근로소득/퇴직소득의 세율)각각 적용하는 세율이 차이가 있는지?(소득세법상 세율은 동일)",2023-12-29,68
36130,경영 전략,울주군 청년 창업 지원사업 문의,2023-12-29,98
36129,회계(세무),"(홈택스, 지급명세서 제출내역)원천징수의무자(회사)가 제출한 소득 자료 확인 방법",2023-12-29,57
36128,경영 전략,자동차 매연저감장치 지원사업문의,2023-12-29,70
36127,회계(세무),"(소득세법, 사업소득원천징수영수증 발급)원천징수영수증 발급 요청 가능 여부",2023-12-29,56
36126,금융,미소금융 운영자금,2023-12-28,108
36125,법무,물품공급계약에 따른 손해배상을 주장하는 매수인에 대한 대응 방안,2023-12-28,84
36139,경영 전략,청년창업 지원사업 상담,2023-12-29,1876
36138,회계(세무),"(소득세법/부가가치세법, 제반 세무신고의 흐름)간이과세자의 부가가치세 및 종합소득세 신고의 흐름",2023-12-29,617
36137,회계(세무),"(조세특례제한법, 월세액에 대한 세액공제)5년 이내의 기간에 대한 근로소득 연말정산 경정청구",2023-12-29,289
36136,경영 전략,조선해양관련기업 산단공 지원사업 참여 등,2023-12-29,258
36135,회계(세무),"(소득세법, 퇴직소득세 계산)연분연승법, 12배/근속연수로 곱하고 산출세액에 근속연수/12배 곱해서 계산",2023-12-29,262
36134,회계(세무),"(부가가치세법, 세금계산서 발급)세금계산서 발급시기/부가가치세법 제34조 제3항",2023-12-29,77
36133,경영 전략,페업관련 상담,2023-12-29,239
36132,경영 전략,운영자금 등,2023-12-29,255
36131,회계(세무),"(소득세법, 근로소득/퇴직소득의 세율)각각 적용하는 세율이 차이가 있는지?(소득세법상 세율은 동일)",2023-12-29,68
36130,경영 전략,울주군 청년 창업 지원사업 문의,2023-12-29,98
36129,회계(세무),"(홈택스, 지급명세서 제출내역)원천징수의무자(회사)가 제출한 소득 자료 확인 방법",2023-12-29,57
36128,경영 전략,자동차 매연저감장치 지원사업문의,2023-12-29,70
36127,회계(세무),"(소득세법, 사업소득원천징수영수증 발급)원천징수영수증 발급 요청 가능 여부",2023-12-29,56
36126,금융,미소금융 운영자금,2023-12-28,108
36125,법무,물품공급계약에 따른 손해배상을 주장하는 매수인에 대한 대응 방안,2023-12-28,84
